Date,Title,URL,Publication,Author,Stance,Topic_Category,Content
4/11/2025,Mapping Attacks on LGBTQ Rights in U.S. State Legislatures in 2025,https://www.aclu.org/legislative-attacks-on-lgbtq-rights-2025,ACLU,None listed,Pro ,1,No text content
4/3/25,The Human Toll of Trump's Anti-Trans Crusade,https://www.aclu.org/news/lgbtq-rights/the-human-toll-of-trumps-anti-trans-crusade,ACLU,Lisa Francois,Pro,2,"President Donald Trump’s assault on transgender rights is a gross overreach of presidential power and yet another attempt to punish trans people just for existing. After President Donald Trump issued an executive order restricting access to gender-affirming medical care for transgender people under 19, many hospitals nationwide abruptly cut off treatment for trans youth. This sent thousands of families scrambling, with some even wondering if they needed to leave the country to protect their family’s future.

If enforced, President Trump’s order will deny transgender youth access to medically-necessary care, like puberty blockers and hormone therapy, even as these same treatments remain readily available to their cisgender peers. The order also intends to cut or reduce federal funding for health care providers who refuse to prioritize the Trump administration’s political preferences over their patients’ medical needs. At the American Civil Liberties Union, we know that politics and partisanship have no place in patient care and we all deserve the freedom to be ourselves. On February 4th, alongside Lambda Legal and the ACLU of Maryland, we sued the Trump administration to block its discriminatory efforts to limit needed health care. We filed our suit on behalf of transgender young adults and their families, as well as PFLAG and GLMA, two of the nation’s largest organizations supporting LGBTQ+ people and healthcare professionals.

Since his first term, Trump and his administration have carried out a years-long effort to roll back protections for LGBTQ people. Beginning in January, the Trump administration issued a series of executive orders that remove protections for trans people. His directives include targeting transgender students, banning trans Americans from military service, and giving federal agencies the green light to openly discriminate against their trans employees. These orders align with the extremist vision of Project 2025, a sweeping right-wing agenda that seeks to dismantle civil rights protections, consolidate presidential power, and dehumanize transgender people. President Trump “is determined to use every level of government to drive transgender people out of public life,” says Joshua Block, senior counsel for the ACLU’s LGBT & HIV Project. For Cameron, Gabe, and Robert, three of the five trans young people challenging the Trump administration’s anti-trans agenda, this fight goes beyond the courtroom. It’s about their fundamental right to make deeply personal medical decisions without government interference.

For Cameron, words like “boy” or “girl” were never meaningful. Being seen as nonbinary makes them feel “strong, happy, recognized, and loved.” Before puberty, they worried about how others would treat them based on their clothes and pronouns. Now, as their physical-self matures, Cameron worries about how they see their own body. “The changes feel violating,” they say. “It makes me depressed, stressed, and anxious.”

After seeing a therapist, Cameron’s parents consulted a doctor who first spoke to them about puberty blockers, a temporary pause that gives people time to decide whether to undergo male or female puberty. Getting more time was a relief to Cameron who, after starting treatment at 12, remembers feeling ""less stressed and a little more hopeful."" However, Cameron’s appointment for a puberty-blocking implant was abruptly canceled after the Trump administration issued its executive order. Their anxieties came rushing back, resulting in stomach pain, restless sleep, and missed school. Their parents fought to find a new doctor. Though Cameron did finally receive their implant, they fear losing care again. “I do not want to feel like a stranger in my body,” they told the ACLU.

For Gabe, a 14-year-old transgender boy, he hopes gender-affirming medical care will help him look and sound more like himself. Often, when strangers see him in public, they address him using male pronouns. Until he speaks. His voice still does not reflect who he is and causes people to misgender him, which only adds to the anxiety and dysmorphia that began when he started puberty.

“Even when I wasn’t sure why the changes felt wrong, I just knew they were,” Gabe says, reflecting on his experience trying to navigate his changing body.

To treat his dysphoria, Gabe’s parents consulted a doctor who explained how testosterone could help him feel more comfortable in his body. Gabe knew it was the right choice for him. “I want to be in a grown-up male body when I’m older,” he says. “I want the choice to tell people, not to be revealed by my voice.”

Gabe hoped to begin testosterone treatments in March 2025, but the administration’s actions put his plans at risk. Like many trans youth, Gabe now fears that he won’t have the choice to present as he truly is.

Families of trans youth also feel the impact of Trump’s discriminatory order. Rachel, a member of PFLAG, has always prioritized her son Robert’s health and well-being. From a very early age, she knew that Robert was meant to be a boy and that “he would thrive in school and the rest of his life if we let him live that way.”

At nine, Robert was diagnosed with gender dysphoria. Rachel made sure he received the care he needed. Under medical guidance, he began puberty blockers to prevent changes that would conflict with his identity. By 14, after years of therapy and careful consideration, he started testosterone. “As his mother, I agreed with his doctors that Robert would benefit from going through puberty alongside his peers,” Rachel says.

Robert is 16 now and is “healthy, social, and thriving.” But on January 29th, Rachel received a call: Robert’s appointment, a routine check-up for his hormone therapy, was canceled. “I am devastated that the president has sought to prevent my child from accessing the health care that allows him to be his true self,” Rachel says.

Without testosterone, Rachel fears that Robert will face severe distress. “This is a child who has told me since age two that he is a boy,” she says. “He is now a young man. It would be alarming for him to suddenly develop a woman’s body.”

Cameron, Robert, Gabe, and so many families like theirs see President Trump’s assault on their rights for what it is: an overreach of presidential power to deny them the health care that serves as the foundation of their lives and their future. At the ACLU, we refuse to let politics dictate who can and cannot receive essential healthcare, but our fight is about more than policy. Like all of us, trans youth deserve to grow up with the care and support they need. We will not stop fighting until their rights are protected.

 "
4/3/25,Perkins et al. v. State (HB 121),https://www.aclu.org/cases/perkins-et-al-v-state,ACLU,None listed,Pro,3,"HB 121, which took effect on March 27, 2025, is a draconian law that singles out transgender and intersex people for dehumanizing and discriminatory treatment. It bars transgender people from using public restrooms, changing rooms, and sleeping quarters that correspond to their gender identity in a sweeping range of public spaces—including offices, libraries, universities, state parks, and hospitals. HB 121 also imposes a restrictive binary definition of “sex” which fails to recognize intersex people, who are born with a combination of male and female sex traits. As a result, under HB 121, intersex people apparently cannot use regulated sex-separated facilities at all. What is more, HB 121 subjects regulated entities to potentially severe legal liability: any person who “encounter[s] another individual of the opposite sex” in a restroom or changing room—including a transgender individual using a facility consistent with their gender identity—can sue the entity where the encounter took place.

The ACLU’s State Supreme Court Initiative, along with the ACLU of Montana and Legal Voice, have brought suit against the State of Montana, Governor Gianforte, and Attorney General Knudsen on behalf of a group of transgender and intersex plaintiffs. Each of the plaintiffs is a Montanan who—like any other Montanan—needs access to public buildings and spaces to work, go to school, seek healthcare, and enjoy recreation, among other things. But, under HB 121, they would not be allowed access to such spaces on equal terms with everyone else. Because they are denied access to restrooms and other sex-separated facilities, the plaintiffs and other transgender and intersex people may not be able to continue working, studying, or participating in public life.

Our lawsuit argues that the Montana Constitution prohibits this discrimination. The Montana Constitution provides robust protections for individual rights and liberties that in some respects exceeds the protections afforded by the U.S. Constitution. We allege that HB 121 violates Montana’s constitutional guarantees of equal protection under the law, privacy, and due process, as well as every Montanan’s constitutional right to pursue life’s basic necessities. At this initial stage of the case, we are asking the Court to enter a preliminary injunction preventing the State from enforcing HB 121 while litigation is ongoing because of the immediate and irreparable harm that the law would inflict on transgender and intersex people."
2/11/2025,Montana Senate endorses bill tying bathrooms to biological sex,https://www.kpax.com/news/montana-senate-endorses-bill-tying-bathrooms-to-biological-sex,KPAX (local news),Jonathon Ambarian,Anti,,"A bill that would require transgender people in Montana to use the bathroom that aligns with their sex at birth has cleared one of its last legislative hurdles before going to the governor.

The Senate endorsed House Bill 121 on a 32-18 party-line vote on Monday, with all Republicans in support and all Democrats in opposition. During the debate on the Senate floor, supporters said it was a commonsense measure, but opponents warned of unintended consequences. House Bill 121 is sponsored by Rep. Kerri Seekins-Crowe, R-Billings. It would require public schools, correctional facilities, other public buildings and domestic violence shelters to designate bathrooms, changing rooms and sleeping areas for either men or women, based on their biological sex at birth, and to “take reasonable steps” to keep the opposite sex out. Someone could then sue those facilities if they failed to take those steps and someone of the opposite sex used the space.

The bill wouldn’t apply to rooms that only one person can use at a time.

Republicans argued HB 121 was needed to protect single-sex spaces, particularly for women. They said it would address concerns about violence and harassment in places where women feel especially vulnerable. “It reinforces protection for women and children and as outlined, specific spaces for their privacy and well-being,” said Sen. John Fuller, R-Kalispell. “And it's about clarity.”

Democrats said transgender people aren’t a threat to women, and that HB 121 would create the same type of discomfort it’s trying to alleviate by requiring transgender men to use women’s bathrooms.

“This is not what the people of Montana need,” said Sen. Cora Neumann, D-Bozeman. “They need you using their money wisely. They need you using our time wisely and voting on things that will actually make their lives better.”

They also argued facilities would have a hard time meeting the requirements of the bill. Sen. Laura Smith, D-Helena, proposed amending the bill to take effect in July instead of immediately when it’s signed into law. She said lawmakers have heard from shelters that say they may have to close if they don’t have more time to get into compliance.

“I don't know why we wouldn't say, ‘Let's hold on, guys, let's give ourselves a second, let’s not harm vulnerable individuals who are in shelters or who are homeless in the middle of Montana winter,’” Smith said. Smith’s motion to amend the bill failed on a 22-28 vote. Supporters of the bill said they believed concerns about shelter closures were “red herrings.”

“If it's important, the governor can make an amendatory veto at a future date, and I would suggest lobbying him,” said Fuller.

HB 121 passed the House last month. It is scheduled for a final vote in the Senate on Tuesday. Once it passes, it will be on its way to Gov. Greg Gianforte’s desk. The Gianforte administration has already indicated support for the bill, with Lt. Gov. Kristen Juras testifying in favor of it.

"
3/26/25,Library Patrons Sue Greenville County Over Widespread Removals and Restrictions of LGBTQ Books,https://www.aclu.org/press-releases/library-patrons-sue-greenville-county-over-widespread-removals-and-restrictions-of-lgbtq-books,ACLU,None listed,Pro,4,"GREENVILLE, S.C. – Local library patrons, with help from the American Civil Liberties Union and ACLU of South Carolina, are suing officials in South Carolina’s most populous county for systematically purging literature by and about lesbian, gay, bisexual, transgender, and queer (LGBTQ) people from its public library collection.

The lawsuit asks a federal court to permanently block Greenville County’s policies and practices that have deliberately hidden or removed dozens of books that positively portray transgender and gender-nonconforming people. The ACLU and the ACLU of South Carolina filed the lawsuit today in the U.S. District Court for the District of South Carolina on behalf of families and residents of Greenville County, arguing that county officials have violated library patrons’ First and Fourteenth Amendment rights.

""Books are one of our greatest tools to learn about other peoples, the world around us, and more importantly to learn about ourselves through representation,” said Greg Rogers, a Greenville County parent and plaintiff in the lawsuit. “All children and young adults should have equal access to these tools. Keeping even one child from accessing the representation they provide is a travesty for the equality of all children.”

“For years, the library board has tried to censor patrons' access to diverse stories,” said Stephen Shelato, co-founder of Freedom in Libraries Advocacy Group (FLAG), a vibrant local library group that has lobbied hard against anti-LGBTQ discrimination at the Greenville Library. “Local parents believe that exposure to diverse stories is healthy and developmentally appropriate, but board members have repeatedly chosen instead to follow the demands of a loud minority of activists and partisan groups. Local parents are now courageously speaking out and taking action—and they deserve the full support of our community.""

“Greenville County cannot censor our public libraries merely because its officials find certain materials politically, morally, or religiously objectionable,” said Allen Chaney, Legal Director for the ACLU of South Carolina. “After years of public advocacy against these discriminatory actions, we must now rely on the courts to vindicate a simple truth: the constitution protects everyone, including LGBTQ people.”

“Greenville County’s policy is a blatant infringement on the rights we all share to learn, read, and speak as we please,” said Shana Knizhnik, Senior Staff Attorney for the ACLU’s Jon L. Stryker and Slobodan Randjelović LGBTQ & HIV Project. “Decades of First Amendment precedent protects the freedom of readers and community members like our plaintiffs, and nobody’s story is unacceptable simply because of who they are or who they love. Across the country, communities like Greenville are standing up and fighting back against efforts to push LGBTQ people from public life, and we’re hopeful the court will see through these discriminatory acts of censorship.”

New policies adopted by the Greenville County Library Board in 2024 require that all materials with “illustrations, themes, or story lines [that] affirm, portray, or discuss changing the appearance of a minor’s gender in ways inconsistent with the minor’s biological sex” or with “illustrations, themes, or storylines that celebrate, portray, or affirm gender transitioning” must be removed from the juvenile and young adult sections of the library. The library system has moved these books to adults-only sections of the library, limiting access for young readers.

Meanwhile, the library system has completely removed dozens of titles that positively portray LGBTQ people, including in adult sections of the library. As today’s court filing explains, the library system’s leadership has granted more than 50 requests from the Greenville County Republican Women’s Club to remove LGBTQ materials, while disproportionately refusing other patrons’ requests to order new LGBTQ materials.

Plaintiffs in the lawsuit identify specific books that have been removed from the Juvenile section. Amber Galea, parent of two children, says her children are interested in books that have been moved out of the Juvenile section, including Hocus and Pocus and the Spell for Home by A.R. Capetta, The Cardboard Kingdom by Chad Sell, Riding Freedom by Pam Muñoz Ryan, and Snapdragon by Kat Leyh.

The following are other examples of books that the library has moved out of juvenile and young adult sections:

Julián is a Mermaid by Jessica Love (an award-winning children’s picture book about a young boy who wishes to dress up like a mermaid)
Ana on the Edge by A.J. Sass (an award-winning book about a 12-year-old nonbinary figure skater)
Red: A Crayon’s Story by Michael Hall (a picture book about a blue crayon that was mistakenly labeled as “red”)
A list of 59 books that were removed entirely from the Greenville County library system in 2023 is available here.

The complaint filed today can be found here.

The Greenville County Library Board members who promoted anti-transgender collection policies in 2024 did not try to keep their discriminatory motives a secret. According to those board members’ public comments, library materials condoning gender fluidity are “trash” and the “idea” of “transgenderism” is a “dangerous thing.” As one library board member put it: “[T]he presence of a transgender character in a book … is grounds for relocating it to the adult section.”

Meanwhile library board members and officials have ordered Pride Month displays to be taken down, ordered library staff to remove advertising for an LGBTQ book club, and encouraged librarians to use the “weeding” process — meant to remove books that are outdated or in physical disrepair — as a pretext to throw out LGBTQ titles, including books purchased within the past five years.

These actions by library board members and library administrators have contributed to an ongoing “culture of fear,” as highlighted in an October 2023 Greenville News article. That cultural shift has led the staff turnover rate to double.

For years, local advocates and library employees have shown resilience in the face of these attacks. Greenville County residents have shown up to speak against censorship at Library Board meetings. One library board member resigned in protest in July 2022 after the board chair ordered Pride Month displays to be taken down, and a former library communications director resigned in October 2022 after being pressured to remove a TV slide promoting an LGBTQ book club.

Today’s lawsuit seeks to address the practice of viewpoint discrimination in the Greenville County Library System, which reports 1.2 million visits per year across 12 locations. The plaintiffs are asking the court to uphold the freedom to access information, a right derived from the First Amendment. They also ask the court to uphold the Fourteenth Amendment right to equal protection under the law for all Greenville County residents.

Other South Carolina library systems considering following in the path of Greenville County should take heed."
3/1/2024,Greenville Co. library board approves policy to move books with transgender themes from the children section,https://www.wyff4.com/article/sc-library-board-approves-policy-move-books-with-transgender-themes-from-children-section/60031299,WYFF,Carlos Cristian Flores,Anti,4,"The Greenville County Library Board approved a new policy on Monday that deals with books with trans themes.

First on the agenda was whether to move the book called “Melissa,"" previously published as ""George."" by Alex Gino to the parenting and early childhood section. The book is a story about a transgender 10-year-old girl.


Advertisement
Trustee James Hoard made a motion to remove the book altogether.

""I think it's trash. We are a taxpayer-funded facility it's not the taxpayers' duty to subsidize trash,"" Hoard said.

The motion failed but the board trustee continued to discuss whether to move the book.

Some trustees felt the decision could lead to a slippery slope.

""We're going to have an endless string of book considerations or requests on both sides right,"" Joe Poore said.

Ultimately, the board voted to move the book to the parenting and early childhood section and then moved on to discuss a new policy.

The policy brought by the Library Materials Committee Meeting would move any books that are for kids 12 years old or younger that deal with transgender themes to be located in the parenting and early childhood collection.

""These are books that will never be discovered. If you don't walk in the library already knowing this is a book you want then you will never find it,"" Freedom in Libraries Advocacy Group(FLAG) member Susan Ward said.

FLAG has been very outspoken against this issue and others involving the moving or removal of LGBTQ materials at Greenville County Public Libraries. Ward believed the move would not only affect people who are a part of the LGBTQ community but believes it creates further separation in the community as whole.

""If books about trans kids aren't available then it makes the families who don't know other families that have trans kids, it just increases that sense of otherness,"" Ward said.

The board went on to unanimously approve the policy.

After reaching out to every member of the library board for comment, WYFF heard back from two and one, Dr. Gene Beckner provided the following statement.

""My hope is that moving forward that the Greenville County Library System continues to affirm that parents are the primary source of education for their children. Parents have a fundamental right and responsibility to direct the upbringing and education of their children including issues of moral, social, physical, civic, and spiritual development.""

Of the 12 Greenville County library branches, only six have a parenting and early childhood section.

To read the policy in its entirety click here. It can be found on page eight of the library systems' collection development and maintenance policy."
3/18/25,"State District Court of Appeals Blocks Ohio’s Ban on Gender-Affirming Care for Trans Minors, in an Historic Win for Families and Bodily Autonomy",https://www.aclu.org/press-releases/state-district-court-of-appeals-blocks-ohios-ban-on-gender-affirming-care-for-trans-minors-in-an-historic-win-for-families-and-bodily-autonomy,ACLU,None listed,Pro,2,"Today, in an historic win for bodily autonomy and LGBTQ+ Ohioans, a three judge panel on the Tenth District Court of Appeals overturned House Bill 68, Ohio’s law banning gender-affirming medical care for trans youth, and prohibiting trans women and girls from participating in sports.

The case, Moe v. Yost, was originally filed on March 26 by the American Civil Liberties Union, the ACLU of Ohio, and the global law firm Goodwin on behalf of two families whose transgender adolescents would be negatively impacted by HB 68. On August 6, following a five-day trial in July, the Franklin County Court of Common Pleas rejected the plaintiffs’ challenge, and allowed the ban to take effect. Today, transgender youth in Ohio will once again be able to access lifesaving healthcare.

The following is reaction to the ruling:

Freda Levenson, Legal Director at the ACLU of Ohio:

“Today, we celebrate this win not only for our brave plaintiffs, but for all LGBTQ+ Ohioans and their families. This win restores the right of trans youth in Ohio to choose vitally important health care, with the support of their families and physicians. We are gratified by the Court’s decision, which soundly rejects this interference of politicians with Ohioans’ bodily autonomy. Although this litigation will likely not end here, we remain fervently committed to preventing this egregious bill from ever again taking effect. The path towards protecting the rights and civil liberties of trans Ohioans goes on, and we will continue to hold the torch.”

Harper Seldin, Senior Staff Attorney, American Civil Liberties Union:
“This is a critical victory for transgender youth and their families across Ohio. The state’s ban is discriminatory, baseless, and a danger to the well-being of the same Ohioan youth lawmakers claim to want to protect. It’s also part of a sweeping effort to drive trans people out of public life altogether by controlling our health care, our families, and our lives. We’re thankful the court upheld their rights under the state constitution.”

Miranda Hooker, Complex Litigation & Dispute Resolution Partner, Goodwin:

""We applaud the families who courageously shared their personal experiences to oppose House Bill 68. This victory underscores the critical need to safeguard bodily autonomy and access to essential healthcare. The decision marks an important milestone in advancing equality and personal freedom for all Ohioans and we will continue to fight against the unconstitutional Bill moving forward.""
"
3/18/2025,"Ohio’s ban on gender-affirming care, boys in girls sports overturned",https://www.thecentersquare.com/ohio/article_87c4c5da-0427-11f0-b83a-4f353793da42.html,The Center Square,J.D. Davidson,Anti,2,"An appeals court Tuesday stopped Ohio’s ban on gender-affirming care for minors.

The ruling comes after a Franklin County judge refused in August to permanently block House Bill 68, which banned transgender-affirming care for minors and boys competing in girls sports.

Ohio Attorney General Dave Yost promised to appeal.

“This is a no-brainer – we are appealing that decision and will seek an immediate stay,” Yost said. “There is no way I’ll stop fighting to protect these unprotected children. Ohio’s elected representatives properly passed legislation protecting children from irreversible chemical sex change procedures, and the trial court upheld the law. But now the 10th District Court of Appeals has just greenlighted these permanent medical interventions against minors.” A three-judge panel on the 10th District Court of Appeals blocked the law.

“Today, we celebrate this win not only for our brave plaintiffs but for all LGBTQ+ Ohioans and their families,” ACLU-Ohio Legal Director Freda Levenson said in a statement. “This win restores the right of trans youth in Ohio to choose vitally important health care, with the support of their families and physicians. We are gratified by the court’s decision, which soundly rejects this interference of politicians with Ohioans’ bodily autonomy. Although this litigation will likely not end here, we remain fervently committed to preventing this egregious bill from ever again taking effect. The path towards protecting the rights and civil liberties of trans Ohioans goes on, and we will continue to hold the torch.”

The ACLU sued in March 2024 on behalf of two families in Franklin County to stop the once-vetoed bill from taking effect in late April of that year. The lawsuit said the bill violates the Ohio Constitution’s single subject, the health care provision, the equal protection clause, and the due course of law provision.

The legislation blocks gender-affirming care for minors, including surgeries, puberty blockers, and hormone therapy.

In December 2023, Gov. Mike DeWine vetoed the bill and a week later issued an executive order that banned gender-affirming surgeries on minors and developed corresponding health care rules for children and adults.

The Republican-majority Senate easily voted to override the veto in late January. The House, also majority Republican, did the same earlier in the month.

The ACLU calls gender-affirming care lifesaving health care supported by major medical associations nationwide, including the American Medical Association, the American Academy of Pediatrics and the American Psychological Association."
9/5/24,"The Supreme Court Case on Trans Health Care, Explained.",https://www.aclu.org/news/lgbtq-rights/the-supreme-court-case-on-trans-health-care-explained,ACLU,Gillian Branstetter,Pro,2 or 5,"Since 2021, 24 states have banned hormone therapy for transgender youth with gender dysphoria. Leading medical experts and organizations — such as the American Medical Association, the American Psychiatric Association, and the American Academy of Pediatrics — oppose these restrictions, which have already forced thousands of families across the country to travel to maintain access to medical care or watch their child suffer without it.

In July 2023, the Sixth Circuit Court of Appeals rejected requests from families and medical providers to block laws in Tennessee and Kentucky banning gender-affirming medical care for transgender youth. At the same time, the Court elected to combine the requests, linking plaintiffs like a Nashville-based couple and their transgender teenage daughter, and a medical provider who supports trans youth  with families in Kentucky. Both states asked the United States Supreme Court to rule on whether these laws are unconstitutional. This year, the Supreme Court agreed to hear the case, now listed as U.S. v. Skrmetti. The plaintiffs in the Tennessee case are represented by the American Civil Liberties Union, the ACLU of Tennessee, Lambda Legal, and Akin Gump. Our legal challenge is limited to the provisions of Tennessee’s ban targeting hormone therapies — such as hormone replacement therapy and puberty blockers — and does not implicate surgical care. To understand what’s at stake, the ACLU breaks down the case and who it impacts. We also share what we can all do to protect gender-affirming care and support trans rights.

How Could U.S. v. Skrmetti. Impact Trans Health Care?
The question in this case is whether Tennessee’s law banning gender-affirming hormone therapies for transgender minors violates the Equal Protection Clause of the US Constitution. Tennessee’s ban, like every other passed by politicians in recent years, specifically permits these same hormone medications when they are provided in a way that Tennessee considers “consistent” with a person’s sex designated at birth. This means, for example, a doctor could prescribe estrogen to a cisgender teenage girl for any clinical diagnosis but could not do the same for a transgender girl diagnosed with gender dysphoria.

The ACLU argues that Tennessee’s ban is a clear example of discrimination on the basis of sex and transgender status making it a violation of the Equal Protection Clause of the 14th Amendment of the Constitution. We made a similar argument in 2020 when, alongside other legal advocates, we successfully argued in front of the Supreme Court on behalf of LGBTQ clients fired because of their sexual orientation and gender identity, including a transgender woman fired from her job at a Michigan funeral home. In a 6-3 ruling, the Supreme Court ruled in favor of LGBTQ workers and found “it is impossible to discriminate against a person for being homosexual or transgender without discriminating against that individual based on sex” and therefore discrimination against LGBTQ workers was impermissible sex discrimination under Title VII, the federal law prohibiting sex discrimination in employment.

In recent years, district courts unanimously blocked bans in Arkansas, Alabama, Florida, Georgia, Indiana, Kentucky, and Tennessee, but the Sixth, Seventh, and Eleventh Circuit Courts of Appeals have allowed these bans to take effect. The Supreme Court must now decide whether states can ban medical treatment for transgender youth with gender dysphoria, but not whether they must. If the court finds Tennessee’s law constitutional, the immediate impact on access to these treatments will be limited to the two states where the bans are already in effect.

How Does this Case Impact Other Health Care, Like Birth Control?
When arguing against transgender people and their families, states with bans like Tennessee’s have relied heavily on the Supreme Court’s opinion Dobbs v. Jackson Women’s Health Organization, which overturned Roe v. Wade and allowed states to ban abortion. U.S. v. Skrmetti will be a major test of how far the court is willing to stretch Dobbs to allow states to ban other health care. The court’s ruling could serve as a stepping stone towards further limiting access to abortion, IVF, and birth control."
12/5/2024,Most Justices Skeptical of Interfering With Tennessee’s Ban on ‘Gender-Affirming Care’ for Minors,https://www.dailysignal.com/2024/12/04/most-justices-skeptical-interfering-state-bans-gender-affirming-care-minors/?utm_source=chatgpt.com,The Daily Signal,"Sarah Parshall Perry, Thomas Jipping ",Anti,2 or 5,"The U.S. Supreme Court had only one case slated for oral argument Wednesday morning, but it was a doozy.

With protesters chanting outside, the court heard arguments for two-and-a-half hours from attorneys for the state of Tennessee, the Department of Justice, and the ACLU in a challenge to the constitutionality of Tennessee’s ban on “gender-affirming” care for minors.

In U.S. v. Skrmetti, the Biden Justice Department and the ACLU argued that the state law violates the equal protection clause of the Constitution’s 14th Amendment because it discriminates based on sex. To the contrary, the state of Tennessee and its attorney general, Jonathan Skrmetti, say the law restricts conduct based only on age (for those children under the age of 18) and how certain drugs are used (for so-called gender-affirming care). Legal challenges to these types of laws are typically brought by parents who seek drugs, such as puberty blockers and cross-sex hormones, and surgical intervention for their children who profess to identify with the opposite sex. They argue that laws like Tennessee’s violate two parts of the 14th Amendment—the due process clause, by depriving parents of the right to make medical decisions for their children, and the equal protection clause, by discriminating against their children based on sex.

President Joe Biden’s administration, rather than parents, brought this challenge, and the U.S. Court of Appeals for the 6th Circuit rejected both arguments. Last year, the 8th Circuit struck down a similar Arkansas law, but only on equal protection grounds.
The Supreme Court, therefore, is addressing only that argument, because that is the one on which the 6th and 8th circuits disagreed. During the argument, however, Justice Amy Coney Barrett clarified that upholding the Tennessee statute on equal protection grounds would not prevent parents from pursuing their claim that such laws violate the due process clause.

‘Main Issue on the Table’
The heart of the challengers’ case is that the Tennessee statute treats people differently based on sex. Justice Ketanji Brown Jackson agreed that this is the “main issue on the table.” The kind of classification of a law is important to determining the appropriate standard of review, which in turn determines how easy or difficult it is to defend that law against a challenge under the equal protection clause.

Most laws that make distinctions as to when they will or will not apply do not do so on the basis of a “suspect class.” Such laws are subject to rational basis review and are constitutional if they are a “rational” way of addressing a “legitimate” legislative purpose—a relatively easy standard to meet.

If a law makes distinctions by classifying people based on a “sex,” it is subject to heightened or “intermediate scrutiny” review. Such laws will be upheld only if they are “substantially related” to achieving an “important” government purpose.

As Tennessee persuasively argues, rather than classifying based on sex, the law classifies on based on purpose. In other words, it distinguishes based on minors seeking drugs for gender transition and minors seeking drugs for any other medical purposes. The Supreme Court has never recognized restrictions on the use of drugs for a particular medical purpose to demand heightened scrutiny review, so rational-basis review applies.

That standard, the state of Tennessee easily satisfies, and the 6th Circuit agreed. ‘A Sex-Based Classification’?
But the challengers want to label the law a sex-based classification to make it harder for Tennessee to defend.

Arguing for the Biden administration, U.S. Solicitor General Elizabeth Prelogar asked the court simply to put the Tennessee statute in that category and send the case back to the lower courts to apply the “intermediate scrutiny” review test. But Justice Brett Kavanaugh observed that, if it did, the case would soon be right back in the Supreme Court’s lap.

Prelogar insisted that the Tennessee statute is obviously based on sex, but her argument is inconsistent with the text of the statute itself. She argued that the law would allow a boy to obtain puberty-blockers to delay experiencing a normal male puberty, but a girl could not. But the statute only says that a minor may not obtain such drugs for the purposes of identifying with a different sex—and that prohibition applies equally to both boys and to girls.

Despite Prelogar’s insistence, the law only restricts access to the drugs based on age and on the medical use of the drugs.

Kavanaugh, Chief Justice John Roberts, and Justice Samuel Alito expressed hesitancy about involving themselves in issues that are better left to state legislatures to decide.

‘Leave the Issue to the Legislatures’?
Roberts argued that the court was “not [in] the best situation to make determinations about medical considerations. Doesn’t that make the case for us to leave the issue to the legislatures?” He also alluded to the court’s landmark ruling in Dobbs v. Jackson Women’s Health Organization in June 2022, which overturned Roe v. Wade, saying that the current case was really about “constitutional allocations of authority.” In an almost verbatim recitation from the Dobbs majority opinion, he continued: “Perhaps we should leave this issue to the people and their elected representatives.”

Roberts and Kavanaugh also stressed the shaky scientific footing of gender “medicine,” and cited various European reports, saying that “countries who have been at the forefront [are now] pumping the brakes on this,” something that Kavanaugh noted gave the court “a yellow light, if not a red light” in moving forward into “constitutionalizing” a new area of law.

But it was perhaps the line of questioning from Alito that was the most intense of the morning. Alito, too, cited specific studies from Sweden and England, including the bombshell Cass report, which indicated that gender medicine is largely unproven and presents significant health risks to children.

He chided Prelogar, saying that she had “relegated [it] to a footnote.”

In their briefs, both the government and the ACLU asserted a different basis on which the court could provide relief.

If the justices didn’t think the law discriminated based on sex, they could find that the law discriminated on the basis of transgender status, and that, too, they argued, would require that the law be subject to intermediate scrutiny review. This alternative argument also took center stage in Wednesday’s argument. A majority of the justices, however, did not seem to buy it.

Both Barrett and Alito pointed out that the court had turned down other requests to expand constitutionally protected categories, such as age and mental disability. Their line of demarcation in equal protection clause cases had always been immutable characteristics—those derived by accident of birth, such as race, sex, and national origin.

So, when transgender lawyer Chase Strangio took the podium for the ACLU, Alito continued his grilling, asking pointedly “Is transgender status immutable?” When Strangio responded that it would indeed “satisfy an immutability test,” Alito peppered the ACLU lawyer with various hypotheticals: What about people who are “gender-fluid,” or who change gender identities over time, or who are “nonbinary”?

‘An Immutable Characteristic’?
When Strangio floundered, Alito retorted, “So, transgender status is not an immutable characteristic, is it?”

Unsurprisingly, the more liberal members of the court, Jackson and Justices Sonia Sotomayor and Elena Kagan, appeared more favorable to Prelogar’s and Strangio’s arguments. Jackson likened the current case to Loving v. Virginia, the court’s landmark civil rights decision that determined that laws banning interracial marriage violated the Equal Protection and Due Process clauses of the 14th Amendment.

In arguing that the state had once legislated in such a way based on racial classifications, and that the court had overridden those state legislative judgments based on the Constitution’s promise of equality, Jackson argued it should do the same here.  Twenty-six states have passed laws similar to Tennessee’s in the past few years, and some of them have been challenged in the courts. But U.S. v. Skrmetti is the first case of its kind to reach the Supreme Court.

The court’s decision, which likely won’t be issued till June, no doubt will have a significant impact on the legislative and litigation efforts on this controversial issue for years to come.
"
